,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 837,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 852,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 1077,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 782,ID 693,ID 693,ID 693,ID 693,ID 693,ID 693,ID 693,ID 334,ID 334,ID 334,ID 334,ID 334,ID 334,ID 334,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 689,ID 927,ID 927,ID 927,ID 927,ID 927,ID 927,ID 927,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 972,ID 618,ID 618,ID 618,ID 618,ID 618,ID 618,ID 618,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1018,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 1068,ID 608,ID 608,ID 608,ID 608,ID 608,ID 608,ID 608,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 885,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 774,ID 630,ID 630,ID 630,ID 630,ID 630,ID 630,ID 630,ID 734,ID 734,ID 734,ID 734,ID 734,ID 734,ID 734
,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,PEARCE,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,BEBENDORF,KARBO,KARBO,KARBO,KARBO,KARBO,KARBO,KARBO,DARU,DARU,DARU,DARU,DARU,DARU,DARU,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,HESSELBJERG,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,SUNDSTROM,VICH,VICH,VICH,VICH,VICH,VICH,VICH,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,PALKOVITS,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,BOUIH,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,DEFLANDRE,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,ZOGHLAMI,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,BOUTERA,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,RATTINGER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,SCHNEIDER,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,BEDRANI,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,SCHYNS,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA,QUIJADA
Time,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail,X,Y,Speed,Accel,Distance,PathDist,ToRail
00:00.000,0,0,0.000,0.000,3.262,3.262,.00,0,0,0.000,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.268,3.268,.00,0,0,5.714,0.000,3.268,3.268,.00
00:00.000,0,0,1.000,0.000,3.262,3.262,.00,0,0,1.000,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.262,3.262,.00,0,0,5.714,0.000,3.268,3.268,.00,0,0,5.714,0.000,3.268,3.268,.00
00:00.572,-37.64,82.099,2.000,0.000,4.480,4.480,.00,-38,82.809,2.000,0.000,4.480,4.480,.00,-38.269,83.318,5.714,0.000,4.480,4.480,.00,0,0,5.714,0.000,3.840,3.840,.00,-38.527,84.42,5.714,0.000,4.480,4.480,.00,0,0,5.714,0.000,3.840,3.840,.00,-38.123,85.584,5.714,0.000,4.480,4.480,.00,0,0,5.714,0.000,3.840,3.840,.00,-38.808,86.63,5.714,0.000,4.480,4.480,.00,-38.429,87.129,5.714,0.000,4.480,4.480,.00,-38.86,88.031,5.714,0.000,4.480,4.480,.00,-39.157,88.404,5.714,0.000,3.840,3.840,.00,-39.164,89.72,5.714,0.000,3.840,3.840,.00,-39.35,90.16,5.714,0.000,3.840,3.840,.00,0,0,5.714,0.000,3.840,3.840,.00,-39.876,91.153,5.714,0.000,3.840,3.840,.00,-40.503,91.459,5.714,0.000,3.840,3.840,.00
00:00.672,-37.831,82.083,2.929,0.000,4.480,5.140,84.67,-38.392,82.788,2.929,0.000,4.480,5.140,85.42,-38.494,83.336,5.714,0.000,4.480,5.140,85.97,0,0,5.714,0.000,3.840,4.405,.00,-38.664,84.419,5.714,0.000,4.480,5.140,86.94,-38.715,85.09,5.714,0.000,3.840,5.140,.00,-38.383,85.482,5.714,0.000,4.480,5.140,87.47,0,0,5.714,0.000,3.840,4.405,.00,-39.021,86.648,5.714,0.000,4.480,5.140,88.70,-38.748,87.091,5.714,0.000,4.480,5.140,88.78,-39.139,88.039,5.714,0.000,4.480,5.140,89.73,-39.457,88.4,5.714,0.000,3.840,4.405,90.20,-39.314,89.657,5.714,0.000,3.840,4.405,91.13,-39.62,90.109,5.714,0.000,3.840,4.405,91.58,0,0,5.714,0.000,3.840,4.405,.00,-39.902,91.09,5.714,0.000,3.840,4.405,92.65,-40.58,91.487,5.714,0.000,3.840,4.410,93.31
00:00.672,-37.831,82.083,3.486,0.000,4.480,5.140,84.67,-38.392,82.788,3.486,0.000,4.480,5.140,85.42,-38.494,83.336,5.714,0.000,4.480,5.140,85.97,0,0,5.714,0.000,3.840,4.405,.00,-38.664,84.419,5.714,0.000,4.480,5.140,86.94,-38.715,85.09,5.714,0.000,3.840,5.140,.00,-38.383,85.482,5.714,0.000,4.480,5.140,87.47,0,0,5.714,0.000,3.840,4.405,.00,-39.021,86.648,5.714,0.000,4.480,5.140,88.70,-38.748,87.091,5.714,0.000,4.480,5.140,88.78,-39.139,88.039,5.714,0.000,4.480,5.140,89.73,-39.457,88.4,5.714,0.000,3.840,4.405,90.20,-39.314,89.657,5.714,0.000,3.840,4.405,91.13,-39.62,90.109,5.714,0.000,3.840,4.405,91.58,0,0,5.714,0.000,3.840,4.405,.00,-39.902,91.09,5.714,0.000,3.840,4.405,92.65,-40.58,91.487,5.714,0.000,3.840,4.410,93.31
00:00.672,-37.831,82.083,3.858,0.000,4.480,5.140,84.67,-38.392,82.788,3.858,0.000,4.480,5.140,85.42,-38.494,83.336,5.714,0.000,4.480,5.140,85.97,0,0,5.714,0.000,3.840,4.405,.00,-38.664,84.419,5.714,0.000,4.480,5.140,86.94,-38.715,85.09,5.714,0.000,3.840,5.140,.00,-38.383,85.482,5.714,0.000,4.480,5.140,87.47,0,0,5.714,0.000,3.840,4.405,.00,-39.021,86.648,5.714,0.000,4.480,5.140,88.70,-38.748,87.091,5.799,0.170,4.480,5.140,88.78,-39.139,88.039,5.799,0.170,4.480,5.140,89.73,-39.457,88.4,5.714,0.000,3.840,4.405,90.20,-39.314,89.657,5.714,0.000,3.840,4.405,91.13,-39.62,90.109,5.714,0.000,3.840,4.405,91.58,0,0,5.714,0.000,3.840,4.405,.00,-39.902,91.09,5.714,0.000,3.840,4.405,92.65,-40.58,91.487,5.714,0.000,3.840,4.410,93.31
00:00.772,-38.161,82.1,4.196,0.146,4.480,5.806,84.79,-38.679,82.674,4.196,0.146,4.480,5.806,85.69,-38.79,83.287,5.787,0.145,4.480,5.806,86.15,0,0,5.787,0.146,3.840,4.977,.00,-38.784,84.308,5.787,0.144,4.480,5.806,87.03,-38.883,85.102,5.787,0.144,3.840,5.806,87.54,-38.695,85.296,5.787,0.144,4.480,5.806,87.59,-39.223,85.852,5.787,0.144,3.840,5.813,.00,-39.097,86.693,5.787,0.144,4.480,5.813,88.86,-38.967,87.162,5.860,0.291,4.480,5.813,88.98,-39.645,88.007,5.860,0.291,4.480,5.813,89.93,-39.854,88.403,5.714,-0.001,3.840,4.982,90.41,-39.72,89.535,5.714,-0.001,3.840,4.982,91.20,-39.97,90.074,5.714,-0.001,3.840,4.982,91.73,0,0,5.714,-0.001,3.840,4.982,.00,-40.294,91.059,5.714,-0.001,3.840,4.982,92.63,-40.863,91.468,5.714,-0.001,3.840,4.982,93.39
00:00.872,-38.541,82.071,4.449,0.256,4.480,6.473,85.04,-38.938,82.693,4.449,0.256,4.480,6.473,85.81,-38.956,83.242,5.841,0.254,4.480,6.473,86.32,-39.369,83.627,5.842,0.255,3.840,6.473,.00,-38.983,84.244,5.841,0.253,4.480,6.473,87.04,-39.162,85.035,5.841,0.253,3.840,6.473,87.67,-38.956,85.175,5.841,0.253,4.480,6.473,87.67,-39.624,85.874,5.841,0.253,3.840,6.473,88.44,-39.511,86.666,5.841,0.253,4.480,6.473,88.95,-39.305,87.291,5.905,0.383,4.480,6.473,89.19,-40.081,87.903,5.905,0.383,4.480,6.473,90.26,-40.282,88.497,5.714,-0.001,3.840,5.547,90.69,-39.878,89.467,5.714,-0.001,3.840,5.547,91.40,-40.157,90.055,5.714,-0.001,3.840,5.547,91.95,0,0,5.714,-0.001,3.840,5.553,.00,-40.684,90.969,5.714,-0.001,3.840,5.553,92.88,-40.857,91.594,5.714,-0.001,3.840,5.553,93.57
00:00.872,-38.541,82.071,4.647,0.341,4.480,6.473,85.04,-38.938,82.693,4.647,0.341,4.480,6.473,85.81,-38.956,83.242,5.884,0.338,4.480,6.473,86.32,-39.369,83.627,5.885,0.340,3.840,6.473,.00,-38.983,84.244,5.883,0.337,4.480,6.473,87.04,-39.162,85.035,5.883,0.337,3.840,6.473,87.67,-38.956,85.175,5.883,0.337,4.480,6.473,87.67,-39.624,85.874,5.883,0.337,3.840,6.473,88.44,-39.511,86.666,5.883,0.337,4.480,6.473,88.95,-39.305,87.291,5.941,0.453,4.480,6.473,89.19,-40.081,87.903,5.941,0.453,4.480,6.473,90.26,-40.282,88.497,5.714,-0.001,3.840,5.547,90.69,-39.878,89.467,5.714,-0.001,3.840,5.547,91.40,-40.157,90.055,5.714,-0.001,3.840,5.547,91.95,0,0,5.714,-0.001,3.840,5.553,.00,-40.684,90.969,5.714,-0.001,3.840,5.553,92.88,-40.857,91.594,5.714,-0.001,3.840,5.553,93.57
